id;title;type;release_year;age_certification;runtime;genres;production_countries;seasons;imdb_id;imdb_score;imdb_votes;tmdb_popularity;tmdb_score
ts22286;Cardcaptor Sakura;SHOW;1998;TV-Y7;25;['scifi', 'animation', 'action', 'comedy', 'drama', 'family', 'fantasy', 'romance'];['JP'];4.0;tt0221735;8.0;5008.0;35.757;8.7
tm192199;Spawn;MOVIE;1997;PG-13;96;['scifi', 'action', 'drama', 'horror'];['US'];;tt0120177;5.2;68184.0;16.989;5.343
ts11397;Adventures of Sonic the Hedgehog;SHOW;1993;TV-Y7;22;['scifi', 'animation', 'action', 'comedy', 'family', 'fantasy', 'western'];['US'];4.0;tt0222518;6.2;3902.0;13.313;6.3
tm56033;Croupier;MOVIE;1998;R;94;['drama', 'european', 'crime'];['IE', 'GB', 'DE', 'FR'];;tt0159382;7.0;21599.0;8.381;6.8
ts21581;Girlfriends;SHOW;2000;TV-PG;21;['drama', 'comedy'];['US'];8.0;tt0247102;7.2;4528.0;12.163;7.7
tm117488;The Next Karate Kid;MOVIE;1994;PG;107;['action', 'drama', 'family', 'sport', 'romance'];['US'];;tt0110657;4.5;30422.0;20.185;5.318
tm190811;Geronimo: An American Legend;MOVIE;1993;PG-13;115;['western', 'history', 'drama'];['US'];;tt0107004;6.5;11709.0;8.136;6.3
tm191431;Double Team;MOVIE;1997;R;93;['action', 'scifi', 'comedy', 'thriller'];['HK', 'US'];;tt0119013;4.8;34396.0;14.599;5.1
tm10811;Heavy;MOVIE;1995;R;105;['drama', 'romance'];['US'];;tt0113280;6.8;5047.0;3.308;6.8
tm49839;The Players Club;MOVIE;1998;R;104;['comedy', 'drama'];['US'];;tt0119905;5.9;6676.0;9.25;6.3
ts20918;The Parkers;SHOW;1999;TV-PG;19;['comedy'];['US'];5.0;tt0200353;6.8;2377.0;5.745;8.1
ts21693;Sister, Sister;SHOW;1994;TV-PG;22;['comedy', 'drama', 'family'];['US'];6.0;tt0108927;6.2;12657.0;21.489;7.5
ts20939;Moesha;SHOW;1996;TV-PG;21;['drama', 'comedy', 'family'];['US'];6.0;tt0115275;5.8;3747.0;10.901;7.0
ts21684;Heartbreak High;SHOW;1994;TV-MA;45;['drama', 'romance', 'comedy'];['AU'];7.0;tt5582224;7.8;3139.0;7.222;7.3
ts22080;Oggy and the Cockroaches;SHOW;1999;TV-Y7;9;['animation', 'comedy', 'family', 'action', 'european'];['FR'];7.0;tt0213363;7.4;4281.0;40.189;7.5
tm67635;Kuch Kuch Hota Hai;MOVIE;1998;G;185;['romance', 'comedy', 'drama'];['IN'];;tt0172684;7.6;52036.0;12.35;7.7
tm320211;Children of God;MOVIE;1994;;63;['documentation'];['GB'];;tt6051792;6.3;612.0;685;6.4
tm7073;Knight Rider 2000;MOVIE;1991;G;91;['action', 'scifi'];['US'];;tt0102227;4.5;3207.0;7.945;5.1
ts28516;Okupas;SHOW;2000;TV-MA;40;['drama', 'crime'];['AR'];1.0;tt0289649;9.0;2399.0;8.565;8.8
tm117873;Hum Aapke Hain Koun..!;MOVIE;1994;;206;['drama', 'romance', 'comedy'];['IN'];;tt0110076;7.5;21123.0;6.314;6.5
tm55100;Dil Se..;MOVIE;1998;PG-13;163;['drama', 'romance'];['IN'];;tt0164538;7.5;28586.0;7.811;6.8
